"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (SAVI BC Dataset_v0) - _step","agent_type: gw (SAVI BC Dataset_v0) - _step__MIN","agent_type: gw (SAVI BC Dataset_v0) - _step__MAX","agent_type: gw (SAVI BC Dataset_v0) - metrics/success","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MAX"
"0","0","0","0","0","0","0","1","1","1","0","0","0"
"15000","4","4","4","0","0","0","5","5","5","0","0","0"
"30000","8","8","8","0","0","0","9","9","9","0","0","0"
"45000","12","12","12","0","0","0","13","13","13","0","0","0"
"60000","16","16","16","0","0","0","17","17","17","0","0","0"
"75000","20","20","20","0","0","0","21","21","21","0","0","0"
"90000","24","24","24","0","0","0","25","25","25","0","0","0"
"105000","28","28","28","0","0","0","29","29","29","0","0","0"
"120000","32","32","32","0","0","0","33","33","33","0","0","0"
"135000","36","36","36","0","0","0","37","37","37","0","0","0"
"150000","40","40","40","0","0","0","41","41","41","0","0","0"
"165000","44","44","44","0","0","0","45","45","45","0","0","0"
"180000","48","48","48","0","0","0","49","49","49","0","0","0"
"195000","52","52","52","0","0","0","53","53","53","0","0","0"
"210000","56","56","56","0","0","0","57","57","57","0","0","0"
"225000","60","60","60","0","0","0","61","61","61","0","0","0"
"240000","64","64","64","0","0","0","65","65","65","0","0","0"
"255000","68","68","68","0","0","0","69","69","69","0","0","0"
"270000","72","72","72","0","0","0","73","73","73","0","0","0"
"285000","76","76","76","0","0","0","77","77","77","0","0","0"
"300000","80","80","80","0","0","0","81","81","81","0","0","0"
"315000","84","84","84","0.04000000059604645","0","0.20000000298023224","85","85","85","0.04000000059604645","0","0.20000000298023224"
"330000","88","88","88","0","0","0","89","89","89","0","0","0"
"345000","92","92","92","0.04000000059604645","0","0.20000000298023224","93","93","93","0","0","0"
"360000","96","96","96","0.0800000011920929","0","0.4000000059604645","97","97","97","0","0","0"
"375000","100","100","100","0","0","0","101","101","101","0","0","0"
"390000","104","104","104","0","0","0","105","105","105","0","0","0"
"405000","108","108","108","0","0","0","109","109","109","0.04000000059604645","0","0.20000000298023224"
"420000","112","112","112","0","0","0","113","113","113","0","0","0"
"435000","116","116","116","0.04000000059604645","0","0.20000000298023224","117","117","117","0","0","0"
"450000","120","120","120","0","0","0","121","121","121","0","0","0"
"465000","124","124","124","0.04000000059604645","0","0.20000000298023224","125","125","125","0.04000000059604645","0","0.20000000298023224"
"480000","128","128","128","0.0800000011920929","0","0.4000000059604645","129","129","129","0.04000000059604645","0","0.20000000298023224"
"495000","132","132","132","0","0","0","133","133","133","0.04000000059604645","0","0.20000000298023224"
"510000","136","136","136","0.0800000011920929","0","0.20000000298023224","137","137","137","0.12000000178813934","0","0.4000000059604645"
"525000","140","140","140","0.20000000298023224","0","0.4000000059604645","141","141","141","0.04000000059604645","0","0.20000000298023224"
"540000","144","144","144","0.04000000059604645","0","0.20000000298023224","145","145","145","0.04000000059604645","0","0.20000000298023224"
"555000","148","148","148","0.1600000023841858","0","0.4000000059604645","149","149","149","0","0","0"
"570000","152","152","152","0.12000000476837158","0","0.6000000238418579","153","153","153","0","0","0"
"585000","156","156","156","0.1600000023841858","0","0.4000000059604645","157","157","157","0.04000000059604645","0","0.20000000298023224"
"600000","160","160","160","0.20000000298023224","0","0.4000000059604645","161","161","161","0","0","0"
"615000","164","164","164","0.04000000059604645","0","0.20000000298023224","165","165","165","0","0","0"
"630000","168","168","168","0.0800000011920929","0","0.20000000298023224","169","169","169","0.12000000476837158","0","0.6000000238418579"
"645000","172","172","172","0.12000000178813934","0","0.20000000298023224","173","173","173","0.0800000011920929","0","0.4000000059604645"
"660000","176","176","176","0.1600000023841858","0","0.4000000059604645","177","177","177","0.04000000059604645","0","0.20000000298023224"
"675000","180","180","180","0.20000000298023224","0","0.4000000059604645","181","181","181","0","0","0"
"690000","184","184","184","0.1600000023841858","0","0.4000000059604645","185","185","185","0.04000000059604645","0","0.20000000298023224"
"705000","188","188","188","0.24000000655651094","0","0.6000000238418579","189","189","189","0.0800000011920929","0","0.20000000298023224"
"720000","192","192","192","0.0800000011920929","0","0.20000000298023224","193","193","193","0.12000000476837158","0","0.6000000238418579"
"735000","196","196","196","0.04000000059604645","0","0.20000000298023224","197","197","197","0.0800000011920929","0","0.20000000298023224"
