"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (SAVI BC Dataset_v0) - _step","agent_type: gw (SAVI BC Dataset_v0) - _step__MIN","agent_type: gw (SAVI BC Dataset_v0) - _step__MAX","agent_type: gw (SAVI BC Dataset_v0) - metrics/success","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MAX"
"810000","216.4","216","217","0.2800000011920929","0","1","217","217","217","0.12000000178813934","0","0.20000000298023224"
"825000","220.4","220","221","0.20000000298023224","0","0.4000000059604645","221","221","221","0.28000001013278963","0","0.6000000238418579"
"840000","224.4","224","225","0.12000000178813934","0","0.4000000059604645","225","225","225","0.0800000011920929","0","0.20000000298023224"
"855000","228.4","228","229","0.20000000298023224","0","0.4000000059604645","229","229","229","0.1600000023841858","0","0.4000000059604645"
"870000","232.4","232","233","0.20000000596046447","0","0.6000000238418579","233","233","233","0.12000000178813934","0","0.4000000059604645"
"885000","236.4","236","237","0.24000000655651094","0","0.6000000238418579","237","237","237","0.16000000536441802","0","0.6000000238418579"
"900000","240.4","240","241","0.2800000041723251","0","0.800000011920929","241","241","241","0.20000000298023224","0","0.4000000059604645"
"915000","244.4","244","245","0.40000000298023225","0.20000000298023224","1","245","245","245","0.2800000041723251","0","0.800000011920929"
"930000","248.4","248","249","0.0800000011920929","0","0.20000000298023224","249","249","249","0.3200000047683716","0","0.800000011920929"
"945000","252.4","252","253","0.24000000357627868","0","0.4000000059604645","253","253","253","0.44000000655651095","0","1"
"960000","256.4","256","257","0.2800000041723251","0","0.800000011920929","257","257","257","0.24000000357627868","0","0.4000000059604645"
"975000","260.4","260","261","0.24000000655651094","0","0.6000000238418579","261","261","261","0.360000005364418","0","0.800000011920929"
"990000","264.4","264","265","0.28000000715255735","0","0.6000000238418579","265","265","265","0.3200000047683716","0","0.800000011920929"
"1005000","268.4","268","269","0.3200000047683716","0","1","269","269","269","0.20000000596046447","0","0.6000000238418579"
"1020000","272.4","272","273","0.40000001192092893","0.20000000298023224","0.6000000238418579","273","273","273","0.4400000095367432","0.20000000298023224","0.800000011920929"
"1035000","276.4","276","277","0.1600000023841858","0","0.4000000059604645","277","277","277","0.32000000178813937","0","1"
"1050000","280.4","280","281","0.1600000023841858","0","0.800000011920929","281","281","281","0.3200000047683716","0","0.800000011920929"
"1065000","284.4","284","285","0.2800000041723251","0","0.800000011920929","285","285","285","0.3200000047683716","0","0.800000011920929"
"1080000","288.4","288","289","0.4000000059604645","0","0.800000011920929","289","289","289","0.28000001013278963","0","0.6000000238418579"
"1095000","292.4","292","293","0.360000005364418","0","0.800000011920929","293","293","293","0.20000000596046447","0","0.6000000238418579"
"1110000","296.4","296","297","0.5600000083446502","0","1","297","297","297","0.4000000089406967","0","0.800000011920929"
"1125000","300.4","300","301","0.4000000059604645","0","1","301","301","301","0.3600000113248825","0","0.6000000238418579"
"1140000","304.4","304","305","0.4000000149011612","0","0.6000000238418579","305","305","305","0.3600000023841858","0","1"
"1155000","308.4","308","309","0.4400000095367432","0","0.800000011920929","309","309","309","0.3200000047683716","0","0.4000000059604645"
"1170000","312.4","312","313","0.4800000101327896","0","0.800000011920929","313","313","313","0.28000000715255735","0","0.6000000238418579"
