"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (Run set 2) - _step","agent_type: gw (Run set 2) - _step__MIN","agent_type: gw (Run set 2) - _step__MAX","agent_type: gw (Run set 2) - metrics/success","agent_type: gw (Run set 2) - metrics/success__MIN","agent_type: gw (Run set 2) - metrics/success__MAX"
"900000","240.2","240","241","0.1600000023841858","0","0.4000000059604645","240","240","240","0","0","0"
"915000","244.2","244","245","0.24000000655651094","0","0.6000000238418579","244","244","244","0.04000000059604645","0","0.20000000298023224"
"930000","248.2","248","249","0.28000000715255735","0","0.6000000238418579","248","248","248","0.04000000059604645","0","0.20000000298023224"
"945000","252.2","252","253","0.04000000059604645","0","0.20000000298023224","252","252","252","0","0","0"
"960000","256.2","256","257","0.28000000715255735","0","0.6000000238418579","256","256","256","0.16000000536441802","0","0.6000000238418579"
"975000","260.2","260","261","0.20000000298023224","0","0.4000000059604645","260","260","260","0.12000000178813934","0","0.4000000059604645"
"990000","264.2","264","265","0.1600000023841858","0","0.4000000059604645","264","264","264","0.12000000178813934","0","0.4000000059604645"
"1005000","268.2","268","269","0.20000000298023224","0","0.4000000059604645","268","268","268","0.0800000011920929","0","0.20000000298023224"
"1020000","272.2","272","273","0.1600000023841858","0","0.4000000059604645","272","272","272","0.04000000059604645","0","0.20000000298023224"
"1035000","276.2","276","277","0.24000000357627868","0","0.800000011920929","276","276","276","0.04000000059604645","0","0.20000000298023224"
"1050000","280.2","280","281","0.20000000298023224","0","0.4000000059604645","280","280","280","0.12000000178813934","0","0.4000000059604645"
"1065000","284.2","284","285","0.12000000178813934","0","0.4000000059604645","284","284","284","0.0800000011920929","0","0.4000000059604645"
"1080000","288.2","288","289","0.12000000178813934","0","0.4000000059604645","288","288","288","0.0800000011920929","0","0.20000000298023224"
"1095000","292.2","292","293","0.20000000298023224","0.20000000298023224","0.20000000298023224","292","292","292","0.04000000059604645","0","0.20000000298023224"
"1110000","296.2","296","297","0.0800000011920929","0","0.20000000298023224","296","296","296","0.04000000059604645","0","0.20000000298023224"
"1125000","300.2","300","301","0.0800000011920929","0","0.20000000298023224","300","300","300","0.04000000059604645","0","0.20000000298023224"
"1140000","304.2","304","305","0.12000000178813934","0","0.20000000298023224","304","304","304","0.04000000059604645","0","0.20000000298023224"
"1155000","308.2","308","309","0.24000000357627868","0","0.4000000059604645","308","308","308","0.04000000059604645","0","0.20000000298023224"
"1170000","312.2","312","313","0.24000000655651094","0","0.6000000238418579","312","312","312","0.20000000298023224","0","0.4000000059604645"
"1185000","316.2","316","317","0.28000000715255735","0","0.6000000238418579","316","316","316","0","0","0"
"1200000","320.2","320","321","0.3600000083446503","0.20000000298023224","0.6000000238418579","320","320","320","0.0800000011920929","0","0.20000000298023224"
"1215000","324.2","324","325","0.3600000113248825","0","0.6000000238418579","324","324","324","0.1600000023841858","0","0.4000000059604645"
"1230000","328.2","328","329","0.32000001072883605","0","0.6000000238418579","328","328","328","0.12000000178813934","0","0.4000000059604645"
"1245000","332.2","332","333","0.360000005364418","0","0.800000011920929","332","332","332","0.1600000023841858","0","0.20000000298023224"
"1260000","336.2","336","337","0.48000000715255736","0","1","336","336","336","0.04000000059604645","0","0.20000000298023224"
"1275000","340.2","340","341","0.360000005364418","0.20000000298023224","0.800000011920929","340","340","340","0.0800000011920929","0","0.4000000059604645"
"1290000","344.2","344","345","0.2800000041723251","0.20000000298023224","0.4000000059604645","344","344","344","0.12000000178813934","0","0.4000000059604645"
"1305000","348.2","348","349","0.24000000655651094","0","0.6000000238418579","348","348","348","0.20000000596046447","0","0.6000000238418579"
"1320000","352.2","352","353","0.3200000047683716","0","0.800000011920929","352","352","352","0.0800000011920929","0","0.4000000059604645"
"1335000","356.2","356","357","0.5200000107288361","0.4000000059604645","0.800000011920929","356","356","356","0","0","0"
