"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (SAVI BC Dataset_v0) - _step","agent_type: gw (SAVI BC Dataset_v0) - _step__MIN","agent_type: gw (SAVI BC Dataset_v0) - _step__MAX","agent_type: gw (SAVI BC Dataset_v0) - metrics/success","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MAX"
"0","0.2","0","1","0","0","0","1","1","1","0","0","0"
"15000","4.2","4","5","0","0","0","5","5","5","0","0","0"
"30000","8.2","8","9","0","0","0","9","9","9","0","0","0"
"45000","12.2","12","13","0","0","0","13","13","13","0","0","0"
"60000","16.2","16","17","0","0","0","17","17","17","0","0","0"
"75000","20.2","20","21","0","0","0","21","21","21","0","0","0"
"90000","24.2","24","25","0","0","0","25","25","25","0","0","0"
"105000","28.2","28","29","0","0","0","29","29","29","0","0","0"
"120000","32.2","32","33","0","0","0","33","33","33","0","0","0"
"135000","36.2","36","37","0","0","0","37","37","37","0","0","0"
"150000","40.2","40","41","0","0","0","41","41","41","0","0","0"
"165000","44.2","44","45","0","0","0","45","45","45","0","0","0"
"180000","48.2","48","49","0","0","0","49","49","49","0","0","0"
"195000","52.2","52","53","0","0","0","53","53","53","0","0","0"
"210000","56.2","56","57","0","0","0","57","57","57","0.04000000059604645","0","0.20000000298023224"
"225000","60.2","60","61","0","0","0","61","61","61","0","0","0"
"240000","64.2","64","65","0.04000000059604645","0","0.20000000298023224","65","65","65","0","0","0"
"255000","68.2","68","69","0","0","0","69","69","69","0","0","0"
"270000","72.2","72","73","0","0","0","73","73","73","0","0","0"
"285000","76.2","76","77","0","0","0","77","77","77","0.04000000059604645","0","0.20000000298023224"
"300000","80.2","80","81","0","0","0","81","81","81","0","0","0"
"315000","84.2","84","85","0","0","0","85","85","85","0","0","0"
"330000","88.2","88","89","0","0","0","89","89","89","0.04000000059604645","0","0.20000000298023224"
"345000","92.2","92","93","0","0","0","93","93","93","0","0","0"
"360000","96.2","96","97","0.0800000011920929","0","0.4000000059604645","97","97","97","0","0","0"
"375000","100.2","100","101","0","0","0","101","101","101","0","0","0"
"390000","104.2","104","105","0","0","0","105","105","105","0","0","0"
"405000","108.2","108","109","0.04000000059604645","0","0.20000000298023224","109","109","109","0","0","0"
"420000","112.2","112","113","0","0","0","113","113","113","0","0","0"
"435000","116.2","116","117","0.04000000059604645","0","0.20000000298023224","117","117","117","0.04000000059604645","0","0.20000000298023224"
"450000","120.2","120","121","0","0","0","121","121","121","0.04000000059604645","0","0.20000000298023224"
"465000","124.2","124","125","0","0","0","125","125","125","0.04000000059604645","0","0.20000000298023224"
"480000","128.2","128","129","0.04000000059604645","0","0.20000000298023224","129","129","129","0.12000000178813934","0","0.20000000298023224"
"495000","132.2","132","133","0","0","0","133","133","133","0.12000000178813934","0","0.4000000059604645"
"510000","136.2","136","137","0.12000000178813934","0","0.4000000059604645","137","137","137","0.16000000536441802","0","0.6000000238418579"
"525000","140.2","140","141","0.04000000059604645","0","0.20000000298023224","141","141","141","0.0800000011920929","0","0.20000000298023224"
"540000","144.2","144","145","0.16000000536441802","0","0.6000000238418579","145","145","145","0.0800000011920929","0","0.20000000298023224"
"555000","148.2","148","149","0.04000000059604645","0","0.20000000298023224","149","149","149","0.1600000023841858","0","0.4000000059604645"
"570000","152.2","152","153","0.04000000059604645","0","0.20000000298023224","153","153","153","0","0","0"
"585000","156.2","156","157","0.0800000011920929","0","0.4000000059604645","157","157","157","0.04000000059604645","0","0.20000000298023224"
"600000","160.2","160","161","0.2800000011920929","0","1","161","161","161","0.0800000011920929","0","0.20000000298023224"
"615000","164.2","164","165","0.20000000596046447","0","0.6000000238418579","165","165","165","0.20000000298023224","0","0.800000011920929"
"630000","168.2","168","169","0.12000000476837158","0","0.6000000238418579","169","169","169","0.1600000023841858","0","0.4000000059604645"
"645000","172.2","172","173","0.12000000178813934","0","0.4000000059604645","173","173","173","0.12000000178813934","0","0.4000000059604645"
"660000","176.2","176","177","0.1600000023841858","0","0.4000000059604645","177","177","177","0.12000000178813934","0","0.4000000059604645"
"675000","180.2","180","181","0.0800000011920929","0","0.4000000059604645","181","181","181","0.0800000011920929","0","0.20000000298023224"
"690000","184.2","184","185","0.1600000023841858","0","0.4000000059604645","185","185","185","0.0800000011920929","0","0.4000000059604645"
"705000","188.2","188","189","0.24000000953674316","0","0.6000000238418579","189","189","189","0.04000000059604645","0","0.20000000298023224"
"720000","192.2","192","193","0.1600000023841858","0","0.4000000059604645","193","193","193","0.12000000476837158","0","0.6000000238418579"
"735000","196.2","196","197","0.20000000298023224","0","0.800000011920929","197","197","197","0.0800000011920929","0","0.20000000298023224"
"750000","200.2","200","201","0.2800000041723251","0.20000000298023224","0.4000000059604645","201","201","201","0.1600000023841858","0","0.4000000059604645"
"765000","204.2","204","205","0.0800000011920929","0","0.20000000298023224","205","205","205","0.1600000023841858","0","0.4000000059604645"
"780000","208.2","208","209","0.0800000011920929","0","0.20000000298023224","209","209","209","0.0800000011920929","0","0.20000000298023224"
"795000","212.2","212","213","0.24000000357627868","0","0.4000000059604645","213","213","213","0.12000000178813934","0","0.20000000298023224"
"810000","216.2","216","217","0.24000000357627868","0","0.800000011920929","217","217","217","0.20000000298023224","0","0.800000011920929"
"825000","220.2","220","221","0.16000000536441802","0","0.6000000238418579","221","221","221","0.32000000178813937","0","1"
"840000","224.2","224","225","0.24000000655651094","0","0.6000000238418579","225","225","225","0.0800000011920929","0","0.20000000298023224"
"855000","228.2","228","229","0.4000000089406967","0","0.800000011920929","229","229","229","0.16000000536441802","0","0.6000000238418579"
"870000","232.2","232","233","0.16000000536441802","0","0.6000000238418579","233","233","233","0.24000000357627868","0","0.800000011920929"
"885000","236.2","236","237","0.2800000041723251","0","0.800000011920929","237","237","237","0.20000000298023224","0","0.800000011920929"
"900000","240.2","240","241","0.2800000041723251","0","0.800000011920929","241","241","241","0.1600000023841858","0","0.4000000059604645"
"915000","244.2","244","245","0.28000000715255735","0","0.6000000238418579","245","245","245","0.28000001013278963","0","0.6000000238418579"
"930000","248.2","248","249","0.32000000178813937","0","1","249","249","249","0.28000000715255735","0","0.6000000238418579"
"945000","252.2","252","253","0.40000000298023225","0","1","253","253","253","0.3200000047683716","0","0.800000011920929"
"960000","256.2","256","257","0.24000000357627868","0","0.4000000059604645","257","257","257","0.0800000011920929","0","0.4000000059604645"
"975000","260.2","260","261","0.3600000083446503","0.20000000298023224","0.6000000238418579","261","261","261","0.0800000011920929","0","0.20000000298023224"
"990000","264.2","264","265","0.20000000298023224","0","0.800000011920929","265","265","265","0.24000000655651094","0","0.6000000238418579"
"1005000","268.2","268","269","0.1600000023841858","0","0.800000011920929","269","269","269","0.28000000715255735","0","0.6000000238418579"
"1020000","272.2","272","273","0.28000000715255735","0","0.6000000238418579","273","273","273","0.16000000536441802","0","0.6000000238418579"
"1035000","276.2","276","277","0.2800000041723251","0","0.800000011920929","277","277","277","0.24000000357627868","0","0.800000011920929"
"1050000","280.2","280","281","0.24000000655651094","0","0.6000000238418579","281","281","281","0.28000000715255735","0","0.800000011920929"
"1065000","284.2","284","285","0.3200000047683716","0","0.800000011920929","285","285","285","0.24000000655651094","0","0.6000000238418579"
"1080000","288.2","288","289","0.24000000655651094","0","0.6000000238418579","289","289","289","0.32000001072883605","0","0.6000000238418579"
"1095000","292.2","292","293","0.2800000041723251","0.20000000298023224","0.4000000059604645","293","293","293","0.24000000655651094","0","0.6000000238418579"
"1110000","296.2","296","297","0.24000000655651094","0","0.6000000238418579","297","297","297","0.44000000655651095","0","1"
"1125000","300.2","300","301","0.5600000083446502","0","1","301","301","301","0.24000000357627868","0","0.800000011920929"
"1140000","304.2","304","305","0.4000000059604645","0.20000000298023224","0.800000011920929","305","305","305","0.40000000298023225","0","1"
"1155000","308.2","308","309","0.3600000113248825","0","0.6000000238418579","309","309","309","0.20000000596046447","0","0.6000000238418579"
"1170000","312.2","312","313","0.2800000011920929","0","1","313","313","313","0.1600000023841858","0","0.4000000059604645"
"1185000","316.2","316","317","0.3200000077486038","0","0.6000000238418579","317","317","317","0.2800000011920929","0","1"
"1200000","320.2","320","321","0.5200000107288361","0","1","321","321","321","0.2800000041723251","0","0.4000000059604645"
"1215000","324.2","324","325","0.4000000089406967","0","0.800000011920929","325","325","325","0.3600000023841858","0","1"
"1230000","328.2","328","329","0.5200000107288361","0.4000000059604645","0.800000011920929","329","329","329","0.24000000655651094","0","0.6000000238418579"
"1245000","332.2","332","333","0.4800000101327896","0","0.800000011920929","333","333","333","0.16000000536441802","0","0.6000000238418579"
"1260000","336.2","336","337","0.44000000655651095","0.20000000298023224","0.800000011920929","337","337","337","0.3200000077486038","0","0.800000011920929"
"1275000","340.2","340","341","0.3600000083446503","0","0.800000011920929","341","341","341","0.20000000596046447","0","0.6000000238418579"
"1290000","344.2","344","345","0.4000000089406967","0","0.800000011920929","345","345","345","0.20000000596046447","0","0.6000000238418579"
"1305000","348.2","348","349","0.4400000125169754","0","0.800000011920929","349","349","349","0.20000000298023224","0","0.800000011920929"
"1320000","352.2","352","353","0.28000001013278963","0","0.6000000238418579","353","353","353","0.20000000298023224","0","0.4000000059604645"
"1335000","356.2","356","357","0.3600000083446503","0","0.800000011920929","357","357","357","0.24000000357627868","0.20000000298023224","0.4000000059604645"
"1350000","360.2","360","361","0.24000000357627868","0","0.800000011920929","361","361","361","0.1600000023841858","0","0.20000000298023224"
"1365000","364.2","364","365","0.3600000083446503","0.20000000298023224","0.6000000238418579","365","365","365","0.12000000178813934","0","0.20000000298023224"
"1380000","368.2","368","369","0.3200000077486038","0.20000000298023224","0.6000000238418579","369","369","369","0.24000000357627868","0","0.4000000059604645"
"1395000","372.2","372","373","0.3600000023841858","0","1","373","373","373","0.12000000178813934","0","0.20000000298023224"
"1410000","376.2","376","377","0.20000000596046447","0","0.6000000238418579","377","377","377","0.1600000023841858","0","0.4000000059604645"
"1425000","380.2","380","381","0.24000000655651094","0","0.6000000238418579","381","381","381","0.16000000536441802","0","0.6000000238418579"
"1440000","384.2","384","385","0.360000005364418","0","0.800000011920929","385","385","385","0.04000000059604645","0","0.20000000298023224"
"1455000","388.2","388","389","0.20000000298023224","0","0.800000011920929","389","389","389","0.20000000298023224","0","0.4000000059604645"
"1470000","392.2","392","393","0.20000000298023224","0","0.800000011920929","393","393","393","0.24000000357627868","0","0.4000000059604645"
"1485000","396.2","396","397","0.12000000178813934","0","0.4000000059604645","397","397","397","0.0800000011920929","0","0.4000000059604645"
"1500000","400.2","400","401","0.0800000011920929","0","0.4000000059604645","401","401","401","0.04000000059604645","0","0.20000000298023224"
"1515000","404.2","404","405","0.12000000178813934","0","0.20000000298023224","405","405","405","0.16000000536441802","0","0.6000000238418579"
"1530000","408.2","408","409","0.1600000023841858","0","0.4000000059604645","409","409","409","0.20000000298023224","0","0.4000000059604645"
"1545000","412.2","412","413","0.20000000596046447","0","0.6000000238418579","413","413","413","0.04000000059604645","0","0.20000000298023224"
"1560000","416.2","416","417","0.0800000011920929","0","0.4000000059604645","417","417","417","0.28000000715255735","0","0.6000000238418579"
"1575000","420.2","420","421","0.1600000023841858","0","0.4000000059604645","421","421","421","0.0800000011920929","0","0.4000000059604645"
