"Step","ppo_bc_seed_1__2024_03_22_13_16_05_280627.musashi - metrics/success","ppo_bc_seed_1__2024_03_22_13_16_05_280627.musashi - metrics/success__MIN","ppo_bc_seed_1__2024_03_22_13_16_05_280627.musashi - metrics/success__MAX","ppo_bc_seed_5__2024_03_18_15_33_00_377812.Loki - metrics/success","ppo_bc_seed_5__2024_03_18_15_33_00_377812.Loki - metrics/success__MIN","ppo_bc_seed_5__2024_03_18_15_33_00_377812.Loki - metrics/success__MAX","ppo_bc_seed_4__2024_02_22_11_32_58_100153.musashi - metrics/success","ppo_bc_seed_4__2024_02_22_11_32_58_100153.musashi - metrics/success__MIN","ppo_bc_seed_4__2024_02_22_11_32_58_100153.musashi - metrics/success__MAX","ppo_bc_seed_3__2024_02_18_17_20_58_861635.musashi - metrics/success","ppo_bc_seed_3__2024_02_18_17_20_58_861635.musashi - metrics/success__MIN","ppo_bc_seed_3__2024_02_18_17_20_58_861635.musashi - metrics/success__MAX","ppo_bc_seed_2__2024_02_14_23_16_39_820446.musashi - metrics/success","ppo_bc_seed_2__2024_02_14_23_16_39_820446.musashi - metrics/success__MIN","ppo_bc_seed_2__2024_02_14_23_16_39_820446.musashi - metrics/success__MAX"
"141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","0","0","0","0","0","0","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"145","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0","0","0","0","0","0","0"
"148","0","0","0","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"160","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"161","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"164","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"165","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0","0","0","0","0","0","0"
"168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"169","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0","0","0","0","0","0","0"
"172","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"173","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0"
"176","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"177","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0"
"180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"181","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0"
"184","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"185","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0"
"188","0","0","0","0","0","0","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0"
"189","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0","0","0","0","0","0","0"
"192","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"193","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0"
"196","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"197","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0","0","0","0","0","0"
"200","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"201","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0"
"204","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"205","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0"
"208","0","0","0","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"209","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0"
"212","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"213","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0"
"216","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"217","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0","0","0","0","0","0"
"220","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"221","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0","0","0","0","0","0","0"
"224","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0"
"225","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0"
"228","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"229","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0","0","0","0","0","0","0"
"232","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"236","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"237","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0"
"240","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224"
