"Step","ppo_bc_seed_5__2024_03_16_01_11_25_831911.Loki - metrics/success","ppo_bc_seed_5__2024_03_16_01_11_25_831911.Loki - metrics/success__MIN","ppo_bc_seed_5__2024_03_16_01_11_25_831911.Loki - metrics/success__MAX","ppo_bc_seed_1__2024_03_08_20_40_50_217317.Loki - metrics/success","ppo_bc_seed_1__2024_03_08_20_40_50_217317.Loki - metrics/success__MIN","ppo_bc_seed_1__2024_03_08_20_40_50_217317.Loki - metrics/success__MAX","ppo_bc_seed_4__2024_02_22_11_32_47_249281.musashi - metrics/success","ppo_bc_seed_4__2024_02_22_11_32_47_249281.musashi - metrics/success__MIN","ppo_bc_seed_4__2024_02_22_11_32_47_249281.musashi - metrics/success__MAX","ppo_bc_seed_3__2024_02_18_17_20_55_505423.musashi - metrics/success","ppo_bc_seed_3__2024_02_18_17_20_55_505423.musashi - metrics/success__MIN","ppo_bc_seed_3__2024_02_18_17_20_55_505423.musashi - metrics/success__MAX","ppo_bc_seed_2__2024_02_14_23_16_39_041498.musashi - metrics/success","ppo_bc_seed_2__2024_02_14_23_16_39_041498.musashi - metrics/success__MIN","ppo_bc_seed_2__2024_02_14_23_16_39_041498.musashi - metrics/success__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
